Команды	Действия
git clone url [dir]	Склонировать Git-репозиторий в локальную папку
git add file	Добавить файл file к стейджингу
git commit	Сделать слепок текущего состояния файлов
git diff	Посмотреть разницу между закомиченными данными и незакомиченными
git pull	Скачать с удалённого репозитория все изменения и попытаться их смержить в текущую ветку
git push	Запушить ваши новые ветки и данные в удалённый репозиторий
git init	Проинициализировать Git-репозиторий в локальной папке
git branch branch_name	Создать ветку в локальном репозитории
git checkout branch_name	Переключиться на ветку с указанным именем
git merge branch_name	Выполнить мерж изменений
